rank,score,name,season,user_score,date,imdb_id
214,53,ties-that-bind,season-1,6.4,Aug 12; 2015,tt4671682
215,53,heroes-reborn,season-1,6.2,Sep 24; 2015,tt3556944
216,52,the-lizzie-borden-chronicles,season-1,7.0,Apr 5; 2015,tt4145760
217,52,moonbeam-city,season-1,7.3,Sep 16; 2015,tt3906560
218,52,flesh-and-bone,season-1,6.6,Nov 8; 2015,tt3507484
219,52,the-brink,season-1,7.5,Jun 21; 2015,tt3216586
220,52,chicago-med,season-1,5.9,Nov 17; 2015,tt4655480
221,52,texas-rising,season-1,3.3,May 25; 2015,tt3598496
222,51,minority-report-2015,season-1,5.4,Sep 21; 2015,tt4450826
223,51,backstrom,season-1,7.7,Jan 22; 2015,tt2099034
224,51,powers,season-1,6.4,Mar 10; 2015,tt1851040
225,51,benders,season-1,5.2,Oct 1; 2015,tt4791440
226,50,jim-hensons-turkey-hollow,season-1,2.5,Nov 21; 2015,tt5145828
227,49,why-with-hannibal-buress,season-1,4.6,Jul 8; 2015,tt4712710
228,49,dig,season-1,6.6,Mar 5; 2015,tt3597606
229,49,happyish,season-1,7.3,Apr 26; 2015,tt3095080
230,49,impastor,season-1,7.0,Jul 15; 2015,tt4543708
231,48,blood-oil,season-1,6.9,Sep 27; 2015,tt4428022
232,48,stitchers,season-1,7.5,Jun 2; 2015,tt3868848
233,48,secrets-and-lies,season-1,7.7,Mar 1; 2015,tt3516878
234,48,the-royals,season-1,5.9,Mar 15; 2015,tt3597912
235,47,between,season-1,4.4,May 21; 2015,tt4132692
236,46,tut,season-1,6.5,Jul 19; 2015,tt3214310
237,46,the-dovekeepers,season-1,4.9,Mar 31; 2015,tt3656138
238,46,beautiful-twisted,season-1,tbd,Jan 31; 2015,tt3881768
239,45,csi-cyber,season-1,3.1,Mar 4; 2015,tt3560060
240,45,gigi-does-it,season-1,8.1,Oct 1; 2015,tt5070488
241,44,a-deadly-adoption,season-1,5.8,Jun 20; 2015,tt4573800
242,44,hand-of-god,season-1,6.9,Sep 4; 2015,tt3973768
243,43,the-player,season-1,7.4,Sep 24; 2015,tt4474310
244,43,best-time-ever-with-neil-patrick-harris,season-1,4.2,Sep 15; 2015,tt4181268
245,43,agent-x,season-1,5.8,Nov 8; 2015,tt3499120
246,42,significant-mother,season-1,3.6,Aug 3; 2015,tt3924978
247,42,the-odd-couple-2015,season-1,5.4,Feb 19; 2015,tt3595776
248,41,mr-robinson,season-1,3.6,Aug 5; 2015,tt2800234
249,41,tatau,season-1,5.8,Apr 18; 2015,tt4122348
251,37,rosewood,season-1,4.9,Sep 23; 2015,tt4465472
252,37,one-big-happy,season-1,4.8,Mar 17; 2015,tt3501016
253,36,real-rob,season-1,5.0,Dec 1; 2015,tt3741346
254,34,the-unauthorized-full-house-story,season-1,tbd,Aug 22; 2015,tt4737910
255,33,wicked-city,season-1,4.4,Oct 27; 2015,tt4428124
256,32,donny!,season-1,4.0,Nov 10; 2015,tt4895394
257,28,sex-box,season-1,3.0,Feb 27; 2015,tt3975956
258,27,the-briefcase,season-1,2.0,May 27; 2015,tt4658248
259,27,south-of-hell,season-1,1.8,Nov 27; 2015,tt4147780
260,26,truth-be-told-2015,season-1,3.8,Oct 16; 2015,tt4481248
261,26,dr-ken,season-1,3.2,Oct 2; 2015,tt3216608
262,25,the-leisure-class,season-1,3.1,Nov 2; 2015,tt5045592
